,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,SNR,logq
WBGene00018073,1461.47714936655,-1.7163732267413,0.040909604390071,-41.9552633747265,0,0,F35H10.10,-0.00117440989582713,Inf
WBGene00018314,811.070073205952,-3.21435216725422,0.0779922254921585,-41.2137510754504,0,0,F41H10.1,-0.00396310044402047,Inf
WBGene00019561,431.106875626862,-3.40139442460153,0.0888685576769599,-38.2744416418427,0,0,K09C6.7,-0.00788990994322613,Inf
WBGene00019862,1419.00225493302,1.62551225632876,0.0392367705890379,41.4282886161609,0,0,nrde-3,0.00114553183455335,Inf
WBGene00019947,9651.45394172306,0.832563325954168,0.0200865989948289,41.4486955292184,0,0,htz-1,8.62629952939019e-05,Inf
WBGene00020237,539.066552572048,-2.63949787300994,0.0688800002158162,-38.3202361315303,0,0,phat-4,-0.00489642301199379,Inf
WBGene00020261,375.605140367153,5.30821177470787,0.140035060278946,37.9063054933105,0,0,vet-1,0.0141324257956616,Inf
WBGene00020379,995.837408610888,3.24606794566252,0.0547588453660134,59.279335127786,0,0,T09B4.5,0.0032596364804075,Inf
WBGene00020567,637.030259849418,-2.72966024829689,0.0690730984522513,-39.5184277158761,0,0,adt-3,-0.00428497737131377,Inf
WBGene00020713,815.435238390415,-3.49121754275545,0.0808233223061118,-43.195669803485,0,0,T23B3.5,-0.00428141608111854,Inf
WBGene00020948,6659.1051422095,0.998121430545687,0.0246876086273371,40.4300572652649,0,0,era-1,0.000149888222100441,Inf
WBGene00021381,653.323854384079,-3.56605915351201,0.0903902761602954,-39.4518006249706,0,0,Y37E11B.10,-0.00545833299914314,Inf
WBGene00021468,1746.75314682442,4.15358921015681,0.0486656792538152,85.3494551775148,0,0,epg-2,0.00237789135671975,Inf
WBGene00021641,1150.91010940687,-6.27182400502991,0.12119085475362,-51.7516277757135,0,0,Y47G6A.15,-0.00544944731457973,Inf
WBGene00021763,4730.0089488792,0.907887550990759,0.0210962731728532,43.0354472352508,0,0,Y51F10.2,0.000191942036643691,Inf
WBGene00021913,357.839444613557,3.41547804295871,0.0878304857951711,38.8871587357939,0,0,cec-8,0.00954472206563815,Inf
WBGene00021996,978.28635845461,-3.47219808980114,0.0793063708805348,-43.7820827160479,0,0,Y59E9AL.6,-0.00354926557014057,Inf
WBGene00022455,1532.78323832335,1.25820524694613,0.0323951158251476,38.8393501581313,0,0,tyms-1,0.000820863130211699,Inf
WBGene00022610,1634.32255844632,-1.69042886674921,0.0431934934113521,-39.1361923577343,0,0,ltah-1.2,-0.00103433000909945,Inf
WBGene00022644,2755.9944777346,-1.95023355940854,0.0470432621046643,-41.4561718757844,0,0,dod-19,-0.000707633333507843,Inf
WBGene00022743,1276.87539316152,-2.09025190113824,0.048974207382396,-42.6806683121448,0,0,mlt-7,-0.00163700539013663,Inf
WBGene00022754,834.380566052282,-3.27720909185682,0.0838810715837699,-39.0697094109481,0,0,nspd-1,-0.00392771503219728,Inf
WBGene00045355,469.553544344373,-3.44329214377107,0.0868112397013975,-39.6641282351787,0,0,D1086.17,-0.00733311926881281,Inf
WBGene00194703,1218.95031521544,-3.28743343837721,0.0569814237020673,-57.6930730191275,0,0,F26B1.8,-0.00269693801079676,Inf
WBGene00219313,692.29515306402,2.50372399022896,0.058434443222959,42.846715945866,0,0,C17E4.20,0.00361655571203663,Inf
WBGene00255375,923.121580361001,-3.32302103298773,0.0793445625843565,-41.8808917051475,0,0,F08B4.8,-0.00359976530034994,Inf
WBGene00008825,4198.08608597409,1.18388064193398,0.0316180832006002,37.4431503144222,7.76435716205265e-307,8.53222183463747e-305,F14H3.6,0.000282004851184294,304.068937861579
WBGene00011173,505.424321965098,-3.77150889544142,0.100791630967847,-37.4188695948827,1.92795177896054e-306,2.10495019066769e-304,acs-18,-0.00746206451002938,303.676758176396
WBGene00015112,338.201787090879,3.43529086444809,0.0918768712793561,37.3901594232886,5.64694494164997e-306,6.1258493107399e-304,B0281.5,0.010157518367947,303.212833690572
WBGene00004398,466.357944947628,-5.79845264135666,0.155185766467101,-37.3645906667988,1.46947571839389e-305,1.58394506894139e-303,rol-8,-0.0124334809863866,302.800259883775
WBGene00009948,674.210689392101,-3.46025156842321,0.0929669115558243,-37.220248694025,3.21061313361076e-303,3.43881051013259e-301,F52H3.6,-0.00513230007009104,300.463591754585
WBGene00015051,434.256130254705,-3.57439200386221,0.0961090857248654,-37.1909895604952,9.54341501386015e-303,1.01574347345632e-300,B0218.7,-0.00823106861327601,299.993215959502
WBGene00021645,1290.56697564945,-1.54090142357602,0.0415558387668908,-37.0802628294851,5.84487421283401e-301,6.18205039398687e-299,Y47G6A.19,-0.0011939724575709,298.208867459036
WBGene00012901,910.746227483622,-2.86465186313678,0.0773624386600937,-37.0289757245523,3.9148860167804e-300,4.1150072088183e-298,cnp-2,-0.00314538976576578,297.385629399638
WBGene00011336,383.049763879469,-3.27792884838936,0.0886084991502369,-36.9933909255318,1.46257225465243e-299,1.52784631268414e-297,ubxn-5,-0.00855744907708859,296.815920329602
WBGene00007979,6207.94722741217,0.972192583661219,0.0263424367149585,36.905947395108,3.70982325374644e-298,3.85161588485589e-296,imp-1,0.000156604518055236,295.414357030843
WBGene00010719,407.243777874464,-3.50504981959513,0.0949757616269554,-36.904677146599,3.88801024505139e-298,4.01199984006126e-296,K09E4.1,-0.00860676088874608,295.396639092965
WBGene00009081,1372.87125093297,-1.69488374646525,0.0459503815273069,-36.8850853927739,8.01458647661791e-298,8.22005132992757e-296,F23B12.4,-0.00123455403797949,295.085125470509
WBGene00011898,3278.51953062245,0.898082126602309,0.0244462494528825,36.7370106540581,1.87444175129427e-295,1.91091432272006e-293,T21C9.13,0.00027392916778867,292.718758784428
WBGene00003111,781.197463733977,1.6733606664665,0.0455656355476225,36.724181422151,3.00382050585227e-295,3.04393140242743e-293,mab-20,0.00214204569798288,292.516565138985
WBGene00021576,391.060921109821,5.70036892715946,0.155320202105706,36.7007565653306,7.10292328432821e-295,7.15492682980275e-293,fbxc-51,0.0145766774930667,292.145394803215
WBGene00000626,1158.83770005315,-8.26159827521204,0.225383961983189,-36.6556617539107,3.71785136860033e-294,3.72291116632091e-292,col-49,-0.00712921082463327,291.42911732651
WBGene00020375,6408.09957058661,0.889388228201204,0.0243465716685278,36.5303271569399,3.66110107777195e-292,3.64451844347851e-290,pigv-1,0.000138791262277435,289.438359847636
WBGene00018350,1318.08257893905,-1.39562469124708,0.0382159694549355,-36.5194108942549,5.4563356254459e-292,5.39985776546321e-290,ifo-1,-0.00105882947969045,289.267617679527
WBGene00010563,352.83919795659,-3.50294670652765,0.0959289843068986,-36.5160408174544,6.17147039076392e-292,6.07208101295918e-290,K04G2.4,-0.00992788422265551,289.21666244277
WBGene00000289,2576.03996501237,1.11473845931367,0.0305611785683506,36.4756371165641,2.69938619427963e-291,2.6405614199881e-289,cam-1,0.000432733371552455,288.578303726281
WBGene00001132,2800.24048998072,-0.966550161192842,0.0265088731166048,-36.461382456405,4.54151617469862e-291,4.41701598990946e-289,alp-1,-0.000345166840009337,288.354871028562
WBGene00006589,1418.9751971674,-1.6550164263978,0.0454024761130742,-36.4521182121435,6.36783088142241e-291,6.15787440036066e-289,tnt-4,-0.0011663462685617,288.210569173469
WBGene00011011,2657.14450229624,1.30702468500923,0.0358614189059198,36.4465412938102,7.80439160221002e-291,7.50418858432956e-289,R04D3.3,0.00049189070593629,288.124696260436
